sequence,time_from_case9,operation,detail
473,911,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x306762 target=0x2F9975 arg0=0x0 arg1=0x0"
474,915,CALLBACK_FRAME_RESTORE_BEGIN,"[CALLBACK_FRAME_RESTORE_BEGIN] seq=18 saved_r9=0x0 frame_token=77312582429 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
475,917,CALLBACK_FRAME_RESTORE_COMPLETE,"[CALLBACK_FRAME_RESTORE_COMPLETE] seq=18 restored_r9=0x0 ok=1 frame_token=77312582429 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
476,921,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE_DONE tick=18 ok=1 end=stop_at_base pc_after=0x80000 r0_after=0x0 r9_after=0x2B1868 sp_after=0x280000 uc_err=0 detail=- evidence=OBSERVED"
477,922,EMU_NEST,"[EMU_NEST] op=FAMILY_DRAIN_ENTER depth=1 site=drain_family_events evidence=OBSERVED"
478,924,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DELIVER event=0x1E209 app=0x9 handler=0x30D311 r9=0x2B1868 r2=0x0 r3=0x0 request_id=18 evidence=OBSERVED"
479,925,EVENT_DELIVER_ENTER,"[EVENT_DELIVER_ENTER] request_id=18 handler=0x30D311 r0=0x9 r1=0x1E209 r2=0x0 r3=0x0 stack0=0x0 stack1=0x0 ctx=0x6AD12C run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
480,926,CALLBACK_FRAME,"[CALLBACK_FRAME] boundary=FAMILY_HANDLER_ENTER handler=0x30D311 request_id=18 stop=0x80000 r0=0x9 r1=0x1E209 r9=0x2B1868 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
481,930,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30E1B0 target=0x305E19 arg0=0x1E209 arg1=0x0"
482,931,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x305E32 target=0x304569 arg0=0x10133 arg1=0x1E205"
483,932,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x10133 r1=0x1E205 r2=0x0 r3=0x0 r4=0x10133 ret=0x0 evidence=TARGET_OBSERVED"
484,933,CALLBACK_FRAME,"[CALLBACK_FRAME] boundary=FAMILY_HANDLER_LEAVE handler=0x30D311 request_id=18 end_class=REACHED_STOP reached_stop=1 pc_after=0x80000 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
485,937,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DELIVER_DONE ok=1 ret=0 end=stop_at_base end_class=REACHED_STOP reached_stop=1 handler=0x30D311 pc_after=0x80000 stop=0x80000 lr_after=0x304599 lim=5000000 evidence=OBSERVED"
486,939,EMU_NEST,"[EMU_NEST] op=FAMILY_DRAIN_LEAVE depth=0 site=drain_family_events evidence=OBSERVED"
487,940,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE ret=0 evidence=DOCUMENTED"
488,941,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE via=host_loop evidence=DOCUMENTED"
489,942,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_CB interval=50 evidence=DOCUMENTED"
490,943,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DUE via=host_loop evidence=DOCUMENTED"
491,944,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_ENTER evidence=DOCUMENTED"
492,945,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_LOCKED evidence=DOCUMENTED"
493,947,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE tick=19 handler=0x30631D r0=0 r1=0 r9=0x2B1868 owner=robotol.ext evidence=CROSS_TARGET+docs/06"
494,949,CALLBACK_FRAME_ENTER,"[CALLBACK_FRAME_ENTER] seq=19 frame_token=81607549725 handler=0x30631D r9=0x2B1868 stop_sentinel=0x80000 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
495,958,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30667A target=0x304569 arg0=0x1E209 arg1=0x9"
496,959,EVENT_TXN,"[EVENT_TXN] op=ACCEPT request_id=19 identity=0xC15442057B8F762F event=0x1E209 app=0x9 ctx=0x6AD12C payload=0x0 stack0=0x0 stack1=0x0 caller_pc=0x304599 insn=19 digest=0xFF5FCBC8 handler=0x30D311 run_id=p17_hit1_20260801_"
497,961,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=ENQUEUE event=0x1E209 app=0x9 handler=0x30D311 request_id=19 owner=robotol.ext evidence=OBSERVED"
498,962,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DEFER_DRAIN_TO_MAP_REDIRECT event=0x1E209 app=0x9 note=avoid_nested_emu_inside_map_func evidence=OBSERVED"
499,963,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 ret=0x0 evidence=TARGET_OBSERVED"
500,964,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=SCHEDULE_DRAIN_OUTSIDE_HOOK cont=0x304599 queued=1 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
501,965,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x306762 target=0x2F9975 arg0=0x0 arg1=0x0"
502,969,CALLBACK_FRAME_RESTORE_BEGIN,"[CALLBACK_FRAME_RESTORE_BEGIN] seq=19 saved_r9=0x0 frame_token=81607549725 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
503,971,CALLBACK_FRAME_RESTORE_COMPLETE,"[CALLBACK_FRAME_RESTORE_COMPLETE] seq=19 restored_r9=0x0 ok=1 frame_token=81607549725 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
504,975,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE_DONE tick=19 ok=1 end=stop_at_base pc_after=0x80000 r0_after=0x0 r9_after=0x2B1868 sp_after=0x280000 uc_err=0 detail=- evidence=OBSERVED"
505,976,EMU_NEST,"[EMU_NEST] op=FAMILY_DRAIN_ENTER depth=1 site=drain_family_events evidence=OBSERVED"
506,978,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DELIVER event=0x1E209 app=0x9 handler=0x30D311 r9=0x2B1868 r2=0x0 r3=0x0 request_id=19 evidence=OBSERVED"
507,979,EVENT_DELIVER_ENTER,"[EVENT_DELIVER_ENTER] request_id=19 handler=0x30D311 r0=0x9 r1=0x1E209 r2=0x0 r3=0x0 stack0=0x0 stack1=0x0 ctx=0x6AD12C run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
508,980,CALLBACK_FRAME,"[CALLBACK_FRAME] boundary=FAMILY_HANDLER_ENTER handler=0x30D311 request_id=19 stop=0x80000 r0=0x9 r1=0x1E209 r9=0x2B1868 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
509,984,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30E1B0 target=0x305E19 arg0=0x1E209 arg1=0x0"
510,985,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x305E32 target=0x304569 arg0=0x10133 arg1=0x1E205"
511,986,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x10133 r1=0x1E205 r2=0x0 r3=0x0 r4=0x10133 ret=0x0 evidence=TARGET_OBSERVED"
512,987,CALLBACK_FRAME,"[CALLBACK_FRAME] boundary=FAMILY_HANDLER_LEAVE handler=0x30D311 request_id=19 end_class=REACHED_STOP reached_stop=1 pc_after=0x80000 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
513,991,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DELIVER_DONE ok=1 ret=0 end=stop_at_base end_class=REACHED_STOP reached_stop=1 handler=0x30D311 pc_after=0x80000 stop=0x80000 lr_after=0x304599 lim=5000000 evidence=OBSERVED"
514,993,EMU_NEST,"[EMU_NEST] op=FAMILY_DRAIN_LEAVE depth=0 site=drain_family_events evidence=OBSERVED"
515,994,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE ret=0 evidence=DOCUMENTED"
516,995,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE via=host_loop evidence=DOCUMENTED"
517,996,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_CB interval=50 evidence=DOCUMENTED"
518,997,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DUE via=host_loop evidence=DOCUMENTED"
519,998,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_ENTER evidence=DOCUMENTED"
520,999,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_LOCKED evidence=DOCUMENTED"
521,1001,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE tick=20 handler=0x30631D r0=0 r1=0 r9=0x2B1868 owner=robotol.ext evidence=CROSS_TARGET+docs/06"
522,1003,CALLBACK_FRAME_ENTER,"[CALLBACK_FRAME_ENTER] seq=20 frame_token=85902517021 handler=0x30631D r9=0x2B1868 stop_sentinel=0x80000 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
523,1012,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30667A target=0x304569 arg0=0x1E209 arg1=0x9"
524,1013,EVENT_TXN,"[EVENT_TXN] op=ACCEPT request_id=20 identity=0xC15442057B8F762F event=0x1E209 app=0x9 ctx=0x6AD12C payload=0x0 stack0=0x0 stack1=0x0 caller_pc=0x304599 insn=20 digest=0xFF5FCBC8 handler=0x30D311 run_id=p17_hit1_20260801_"
525,1015,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=ENQUEUE event=0x1E209 app=0x9 handler=0x30D311 request_id=20 owner=robotol.ext evidence=OBSERVED"
526,1016,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DEFER_DRAIN_TO_MAP_REDIRECT event=0x1E209 app=0x9 note=avoid_nested_emu_inside_map_func evidence=OBSERVED"
527,1017,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 ret=0x0 evidence=TARGET_OBSERVED"
528,1018,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=SCHEDULE_DRAIN_OUTSIDE_HOOK cont=0x304599 queued=1 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
529,1019,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x306762 target=0x2F9975 arg0=0x0 arg1=0x0"
530,1023,CALLBACK_FRAME_RESTORE_BEGIN,"[CALLBACK_FRAME_RESTORE_BEGIN] seq=20 saved_r9=0x0 frame_token=85902517021 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
531,1025,CALLBACK_FRAME_RESTORE_COMPLETE,"[CALLBACK_FRAME_RESTORE_COMPLETE] seq=20 restored_r9=0x0 ok=1 frame_token=85902517021 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
532,1029,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE_DONE tick=20 ok=1 end=stop_at_base pc_after=0x80000 r0_after=0x0 r9_after=0x2B1868 sp_after=0x280000 uc_err=0 detail=- evidence=OBSERVED"
533,1030,TIMER_CADENCE_VERDICT,"[TIMER_CADENCE_VERDICT] verdict=TIMER_CADENCE_VALID deliveries=20 duplicates=0 max_outstanding=1 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
534,1031,EMU_NEST,"[EMU_NEST] op=FAMILY_DRAIN_ENTER depth=1 site=drain_family_events evidence=OBSERVED"
535,1033,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DELIVER event=0x1E209 app=0x9 handler=0x30D311 r9=0x2B1868 r2=0x0 r3=0x0 request_id=20 evidence=OBSERVED"
536,1034,EVENT_DELIVER_ENTER,"[EVENT_DELIVER_ENTER] request_id=20 handler=0x30D311 r0=0x9 r1=0x1E209 r2=0x0 r3=0x0 stack0=0x0 stack1=0x0 ctx=0x6AD12C run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
537,1035,CALLBACK_FRAME,"[CALLBACK_FRAME] boundary=FAMILY_HANDLER_ENTER handler=0x30D311 request_id=20 stop=0x80000 r0=0x9 r1=0x1E209 r9=0x2B1868 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
538,1039,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30E1B0 target=0x305E19 arg0=0x1E209 arg1=0x0"
539,1040,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x305E32 target=0x304569 arg0=0x10133 arg1=0x1E205"
540,1041,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x10133 r1=0x1E205 r2=0x0 r3=0x0 r4=0x10133 ret=0x0 evidence=TARGET_OBSERVED"
541,1042,CALLBACK_FRAME,"[CALLBACK_FRAME] boundary=FAMILY_HANDLER_LEAVE handler=0x30D311 request_id=20 end_class=REACHED_STOP reached_stop=1 pc_after=0x80000 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
542,1046,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DELIVER_DONE ok=1 ret=0 end=stop_at_base end_class=REACHED_STOP reached_stop=1 handler=0x30D311 pc_after=0x80000 stop=0x80000 lr_after=0x304599 lim=5000000 evidence=OBSERVED"
543,1048,EMU_NEST,"[EMU_NEST] op=FAMILY_DRAIN_LEAVE depth=0 site=drain_family_events evidence=OBSERVED"
544,1049,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE ret=0 evidence=DOCUMENTED"
545,1050,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE via=host_loop evidence=DOCUMENTED"
546,1051,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_CB interval=50 evidence=DOCUMENTED"
547,1052,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DUE via=host_loop evidence=DOCUMENTED"
548,1053,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_ENTER evidence=DOCUMENTED"
549,1054,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_LOCKED evidence=DOCUMENTED"
550,1056,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE tick=21 handler=0x30631D r0=0 r1=0 r9=0x2B1868 owner=robotol.ext evidence=CROSS_TARGET+docs/06"
551,1058,CALLBACK_FRAME_ENTER,"[CALLBACK_FRAME_ENTER] seq=21 frame_token=90197484317 handler=0x30631D r9=0x2B1868 stop_sentinel=0x80000 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
552,1067,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30667A target=0x304569 arg0=0x1E209 arg1=0x9"
553,1068,EVENT_TXN,"[EVENT_TXN] op=ACCEPT request_id=21 identity=0xC15442057B8F762F event=0x1E209 app=0x9 ctx=0x6AD12C payload=0x0 stack0=0x0 stack1=0x0 caller_pc=0x304599 insn=21 digest=0xFF5FCBC8 handler=0x30D311 run_id=p17_hit1_20260801_"
554,1070,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=ENQUEUE event=0x1E209 app=0x9 handler=0x30D311 request_id=21 owner=robotol.ext evidence=OBSERVED"
555,1071,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DEFER_DRAIN_TO_MAP_REDIRECT event=0x1E209 app=0x9 note=avoid_nested_emu_inside_map_func evidence=OBSERVED"
556,1072,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 ret=0x0 evidence=TARGET_OBSERVED"
557,1073,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=SCHEDULE_DRAIN_OUTSIDE_HOOK cont=0x304599 queued=1 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
558,1074,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x306762 target=0x2F9975 arg0=0x0 arg1=0x0"
559,1078,CALLBACK_FRAME_RESTORE_BEGIN,"[CALLBACK_FRAME_RESTORE_BEGIN] seq=21 saved_r9=0x0 frame_token=90197484317 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
560,1080,CALLBACK_FRAME_RESTORE_COMPLETE,"[CALLBACK_FRAME_RESTORE_COMPLETE] seq=21 restored_r9=0x0 ok=1 frame_token=90197484317 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
561,1084,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE_DONE tick=21 ok=1 end=stop_at_base pc_after=0x80000 r0_after=0x0 r9_after=0x2B1868 sp_after=0x280000 uc_err=0 detail=- evidence=OBSERVED"
562,1085,EMU_NEST,"[EMU_NEST] op=FAMILY_DRAIN_ENTER depth=1 site=drain_family_events evidence=OBSERVED"
563,1087,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DELIVER event=0x1E209 app=0x9 handler=0x30D311 r9=0x2B1868 r2=0x0 r3=0x0 request_id=21 evidence=OBSERVED"
564,1088,EVENT_DELIVER_ENTER,"[EVENT_DELIVER_ENTER] request_id=21 handler=0x30D311 r0=0x9 r1=0x1E209 r2=0x0 r3=0x0 stack0=0x0 stack1=0x0 ctx=0x6AD12C run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
565,1089,CALLBACK_FRAME,"[CALLBACK_FRAME] boundary=FAMILY_HANDLER_ENTER handler=0x30D311 request_id=21 stop=0x80000 r0=0x9 r1=0x1E209 r9=0x2B1868 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
566,1093,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30E1B0 target=0x305E19 arg0=0x1E209 arg1=0x0"
567,1094,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x305E32 target=0x304569 arg0=0x10133 arg1=0x1E205"
568,1095,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x10133 r1=0x1E205 r2=0x0 r3=0x0 r4=0x10133 ret=0x0 evidence=TARGET_OBSERVED"
569,1096,CALLBACK_FRAME,"[CALLBACK_FRAME] boundary=FAMILY_HANDLER_LEAVE handler=0x30D311 request_id=21 end_class=REACHED_STOP reached_stop=1 pc_after=0x80000 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
570,1100,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DELIVER_DONE ok=1 ret=0 end=stop_at_base end_class=REACHED_STOP reached_stop=1 handler=0x30D311 pc_after=0x80000 stop=0x80000 lr_after=0x304599 lim=5000000 evidence=OBSERVED"
571,1102,EMU_NEST,"[EMU_NEST] op=FAMILY_DRAIN_LEAVE depth=0 site=drain_family_events evidence=OBSERVED"
572,1103,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE ret=0 evidence=DOCUMENTED"
573,1104,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE via=host_loop evidence=DOCUMENTED"
574,1105,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_CB interval=50 evidence=DOCUMENTED"
575,1106,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DUE via=host_loop evidence=DOCUMENTED"
576,1107,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_ENTER evidence=DOCUMENTED"
577,1108,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_LOCKED evidence=DOCUMENTED"
578,1110,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE tick=22 handler=0x30631D r0=0 r1=0 r9=0x2B1868 owner=robotol.ext evidence=CROSS_TARGET+docs/06"
579,1112,CALLBACK_FRAME_ENTER,"[CALLBACK_FRAME_ENTER] seq=22 frame_token=94492451613 handler=0x30631D r9=0x2B1868 stop_sentinel=0x80000 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
580,1121,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30667A target=0x304569 arg0=0x1E209 arg1=0x9"
581,1122,EVENT_TXN,"[EVENT_TXN] op=ACCEPT request_id=22 identity=0xC15442057B8F762F event=0x1E209 app=0x9 ctx=0x6AD12C payload=0x0 stack0=0x0 stack1=0x0 caller_pc=0x304599 insn=22 digest=0xFF5FCBC8 handler=0x30D311 run_id=p17_hit1_20260801_"
582,1124,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=ENQUEUE event=0x1E209 app=0x9 handler=0x30D311 request_id=22 owner=robotol.ext evidence=OBSERVED"
583,1125,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DEFER_DRAIN_TO_MAP_REDIRECT event=0x1E209 app=0x9 note=avoid_nested_emu_inside_map_func evidence=OBSERVED"
584,1126,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 ret=0x0 evidence=TARGET_OBSERVED"
585,1127,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=SCHEDULE_DRAIN_OUTSIDE_HOOK cont=0x304599 queued=1 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
586,1128,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x306762 target=0x2F9975 arg0=0x0 arg1=0x0"
587,1132,CALLBACK_FRAME_RESTORE_BEGIN,"[CALLBACK_FRAME_RESTORE_BEGIN] seq=22 saved_r9=0x0 frame_token=94492451613 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
588,1134,CALLBACK_FRAME_RESTORE_COMPLETE,"[CALLBACK_FRAME_RESTORE_COMPLETE] seq=22 restored_r9=0x0 ok=1 frame_token=94492451613 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
589,1138,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE_DONE tick=22 ok=1 end=stop_at_base pc_after=0x80000 r0_after=0x0 r9_after=0x2B1868 sp_after=0x280000 uc_err=0 detail=- evidence=OBSERVED"
590,1139,EMU_NEST,"[EMU_NEST] op=FAMILY_DRAIN_ENTER depth=1 site=drain_family_events evidence=OBSERVED"
591,1141,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DELIVER event=0x1E209 app=0x9 handler=0x30D311 r9=0x2B1868 r2=0x0 r3=0x0 request_id=22 evidence=OBSERVED"
592,1142,EVENT_DELIVER_ENTER,"[EVENT_DELIVER_ENTER] request_id=22 handler=0x30D311 r0=0x9 r1=0x1E209 r2=0x0 r3=0x0 stack0=0x0 stack1=0x0 ctx=0x6AD12C run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
593,1143,CALLBACK_FRAME,"[CALLBACK_FRAME] boundary=FAMILY_HANDLER_ENTER handler=0x30D311 request_id=22 stop=0x80000 r0=0x9 r1=0x1E209 r9=0x2B1868 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
594,1147,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30E1B0 target=0x305E19 arg0=0x1E209 arg1=0x0"
595,1148,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x305E32 target=0x304569 arg0=0x10133 arg1=0x1E205"
596,1149,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x10133 r1=0x1E205 r2=0x0 r3=0x0 r4=0x10133 ret=0x0 evidence=TARGET_OBSERVED"
597,1150,CALLBACK_FRAME,"[CALLBACK_FRAME] boundary=FAMILY_HANDLER_LEAVE handler=0x30D311 request_id=22 end_class=REACHED_STOP reached_stop=1 pc_after=0x80000 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
598,1154,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DELIVER_DONE ok=1 ret=0 end=stop_at_base end_class=REACHED_STOP reached_stop=1 handler=0x30D311 pc_after=0x80000 stop=0x80000 lr_after=0x304599 lim=5000000 evidence=OBSERVED"
599,1156,EMU_NEST,"[EMU_NEST] op=FAMILY_DRAIN_LEAVE depth=0 site=drain_family_events evidence=OBSERVED"
600,1157,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE ret=0 evidence=DOCUMENTED"
601,1158,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE via=host_loop evidence=DOCUMENTED"
602,1159,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_CB interval=50 evidence=DOCUMENTED"
603,1160,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DUE via=host_loop evidence=DOCUMENTED"
604,1161,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_ENTER evidence=DOCUMENTED"
605,1162,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_LOCKED evidence=DOCUMENTED"
606,1164,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE tick=23 handler=0x30631D r0=0 r1=0 r9=0x2B1868 owner=robotol.ext evidence=CROSS_TARGET+docs/06"
607,1166,CALLBACK_FRAME_ENTER,"[CALLBACK_FRAME_ENTER] seq=23 frame_token=98787418909 handler=0x30631D r9=0x2B1868 stop_sentinel=0x80000 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
608,1175,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30667A target=0x304569 arg0=0x1E209 arg1=0x9"
609,1176,EVENT_TXN,"[EVENT_TXN] op=ACCEPT request_id=23 identity=0xC15442057B8F762F event=0x1E209 app=0x9 ctx=0x6AD12C payload=0x0 stack0=0x0 stack1=0x0 caller_pc=0x304599 insn=23 digest=0xFF5FCBC8 handler=0x30D311 run_id=p17_hit1_20260801_"
610,1178,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=ENQUEUE event=0x1E209 app=0x9 handler=0x30D311 request_id=23 owner=robotol.ext evidence=OBSERVED"
611,1179,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DEFER_DRAIN_TO_MAP_REDIRECT event=0x1E209 app=0x9 note=avoid_nested_emu_inside_map_func evidence=OBSERVED"
